total: 0.199850, mean : 0.000020, first : 0.000018, last 0.036931, number insert : 10000 size : 10000 clean time : 0.002636
total: 1.724546, mean : 0.000017, first : 0.000031, last 0.099877, number insert : 99999 size : 100000 clean time : 0.024301
total: 3.671676, mean : 0.000018, first : 0.000036, last 0.000000, number insert : 199993 size : 200000 clean time : 0.060890
total: 3.529257, mean : 0.000018, first : 0.000033, last 0.000000, number insert : 199994 size : 200000 clean time : 0.054757
total: 4.099133, mean : 0.000016, first : 0.000037, last 0.000000, number insert : 249982 size : 250000 clean time : 0.071887
total: 4.404913, mean : 0.000017, first : 0.000042, last 0.000000, number insert : 259986 size : 260000 clean time : 0.064399
total: 4.916140, mean : 0.000019, first : 0.000033, last 0.000000, number insert : 260994 size : 261000 clean time : 0.065913
total: 4.678533, mean : 0.000018, first : 0.000034, last 0.000000, number insert : 261488 size : 261500 clean time : 0.083847
total: 4.643097, mean : 0.000018, first : 0.000043, last 0.000000, number insert : 261684 size : 261700 clean time : 0.079923
total: 4.889883, mean : 0.000019, first : 0.000037, last 0.000000, number insert : 261789 size : 261800 clean time : 0.077733
total: 4.759558, mean : 0.000018, first : 0.000029, last 0.000000, number insert : 261795 size : 261810 clean time : 0.087551
total: 5.145759, mean : 0.000020, first : 0.000052, last 0.000000, number insert : 261811 size : 261820 clean time : 0.081891
total: 4.818042, mean : 0.000018, first : 0.000038, last 0.000000, number insert : 261821 size : 261824 clean time : 0.073581
total: 4.747168, mean : 0.000018, first : 0.000035, last 0.000000, number insert : 261819 size : 261825 clean time : 0.069398
total: 5.343388, mean : 0.000020, first : 0.000037, last 0.000000, number insert : 261822 size : 261825 clean time : 0.083129
total: 4.653189, mean : 0.000018, first : 0.000036, last 0.000000, number insert : 261817 size : 261825 clean time : 0.069815
total: 0.285465, mean : 0.000014, first : 0.000030, last 0.003851, number insert : 20000 size : 20000 clean time : 0.003898
total: 0.249240, mean : 0.000012, first : 0.000033, last 0.001196, number insert : 20000 size : 20000 clean time : 0.003771
total: 4.439333, mean : 0.000015, first : 0.000041, last 274877.907200, number insert : 299997 size : 300000 clean time : 0.058635
total: 3.324729, mean : 0.000013, first : 0.000017, last 274877.907200, number insert : 261804 size : 261826 clean time : 0.050536
